#
# The Tor Project
#
# URL: https://metrics.torproject.org/userstats-relay-country.csv?start=2023-01-04&end=2023-10-15&country=all&events=off
#
date,country,users,lower,upper,frac
2023-01-07,,2297430,,,75
2023-01-08,,2329057,,,75
2023-01-09,,2464609,,,52
2023-01-15,,2432056,,,71
2023-01-16,,2553084,,,69
2023-01-17,,2613048,,,69
2023-01-18,,2704396,,,71
2023-01-19,,2725519,,,71
2023-01-20,,2559118,,,73
2023-01-21,,2423914,,,73
2023-01-22,,2350391,,,73
2023-01-23,,2450163,,,71
2023-01-24,,2381777,,,71
2023-01-25,,2390695,,,73
2023-01-26,,2351879,,,74
2023-01-27,,2289493,,,75
2023-01-28,,2122282,,,75
2023-01-29,,2169298,,,75
2023-01-30,,2281283,,,78
2023-01-31,,2348990,,,76
2023-02-01,,2416650,,,76
2023-02-02,,2339885,,,75
2023-02-03,,2314319,,,76
2023-02-04,,2308999,,,72
2023-02-05,,2289007,,,73
2023-02-06,,2496351,,,71
2023-02-07,,2522692,,,69
2023-02-08,,2531593,,,70
2023-02-09,,2573047,,,71
2023-02-10,,2516374,,,71
2023-02-11,,2372588,,,74
2023-02-12,,2398203,,,72
2023-02-13,,2600250,,,71
2023-02-14,,2621739,,,71
2023-02-15,,2585850,,,72
2023-02-16,,2580568,,,71
2023-02-17,,2587105,,,69
2023-02-18,,2411818,,,71
2023-02-19,,2455225,,,69
2023-02-20,,2592952,,,70
2023-02-21,,2622740,,,68
2023-02-22,,2591708,,,69
2023-02-23,,2578422,,,72
2023-02-24,,2501005,,,72
2023-02-25,,2360543,,,74
2023-02-26,,2399293,,,73
2023-02-27,,2602966,,,76
2023-02-28,,2632422,,,75
2023-03-01,,2586010,,,70
2023-03-02,,2531935,,,69
2023-03-03,,2527662,,,71
2023-03-04,,2483480,,,72
2023-03-05,,2412770,,,72
2023-03-06,,2461693,,,73
2023-03-07,,2566808,,,76
2023-03-08,,2539791,,,76
2023-03-09,,2481669,,,77
2023-03-10,,2573048,,,74
2023-03-11,,2409948,,,77
2023-03-12,,2321991,,,75
2023-03-13,,2517748,,,75
2023-03-14,,2625905,,,75
2023-03-15,,2588600,,,76
2023-03-16,,2364255,,,86
2023-03-17,,2577228,,,78
2023-03-18,,2374198,,,75
2023-03-19,,2312474,,,76
2023-03-20,,2464968,,,76
2023-03-21,,2594020,,,75
2023-03-22,,2586433,,,74
2023-03-23,,2507264,,,74
2023-03-24,,2550768,,,75
2023-03-25,,2490121,,,75
2023-03-26,,2322037,,,75
2023-03-27,,2619289,,,76
2023-03-28,,2773303,,,72
2023-03-29,,2792210,,,74
2023-03-30,,2791011,,,74
2023-03-31,,2692774,,,76
2023-04-01,,2615596,,,75
2023-04-02,,2516002,,,76
2023-04-03,,2525349,,,80
2023-04-04,,2810248,,,73
2023-04-05,,2926529,,,70
2023-04-06,,2791268,,,73
2023-04-07,,2701222,,,73
2023-04-08,,2566626,,,72
2023-04-09,,2626000,,,71
2023-04-10,,2885898,,,70
2023-04-11,,2999370,,,68
2023-04-12,,2730267,,,78
2023-04-13,,2873122,,,71
2023-04-14,,2799478,,,71
2023-04-15,,2601318,,,74
2023-04-16,,2773673,,,68
2023-04-17,,2828301,,,71
2023-04-18,,2939598,,,68
2023-04-19,,2897199,,,67
2023-04-20,,2854433,,,67
2023-04-21,,2835337,,,69
2023-04-22,,2746385,,,68
2023-04-23,,2776587,,,68
2023-04-24,,2868343,,,68
2023-04-25,,2883040,,,68
2023-04-26,,2983450,,,70
2023-04-27,,3095205,,,69
2023-04-28,,2963440,,,71
2023-04-29,,2884286,,,71
2023-04-30,,2852603,,,70
2023-05-01,,2732818,,,70
2023-05-02,,2758063,,,71
2023-05-03,,2867639,,,71
2023-05-04,,2761189,,,70
2023-05-05,,2796567,,,68
2023-05-06,,2564000,,,68
2023-05-07,,2589463,,,68
2023-05-08,,2794712,,,68
2023-05-09,,2892786,,,68
2023-05-10,,2946557,,,67
2023-05-11,,2835038,,,67
2023-05-12,,2892996,,,66
2023-05-13,,2856245,,,65
2023-05-14,,2717589,,,66
2023-05-15,,2713175,,,68
2023-05-16,,3006044,,,66
2023-05-17,,3177982,,,64
2023-05-18,,3081142,,,66
2023-05-19,,3025117,,,67
2023-05-20,,2843255,,,67
2023-05-21,,2650947,,,68
2023-05-22,,2810634,,,69
2023-05-23,,2896207,,,68
2023-05-24,,2768361,,,67
2023-05-25,,2567178,,,72
2023-05-26,,3164135,,,70
2023-05-27,,2854242,,,66
2023-05-28,,2584035,,,68
2023-05-29,,2710751,,,70
2023-05-30,,2838942,,,67
2023-05-31,,2734659,,,66
2023-06-01,,2689375,,,65
2023-06-02,,2672512,,,66
2023-06-03,,2617498,,,66
2023-06-04,,2558689,,,68
2023-06-05,,2524145,,,71
2023-06-06,,2608891,,,69
2023-06-07,,2615698,,,69
2023-06-08,,2652769,,,68
2023-06-09,,2729588,,,67
2023-06-10,,2581066,,,66
2023-06-11,,2521629,,,66
2023-06-12,,2642990,,,68
2023-06-13,,2830268,,,67
2023-06-14,,3016579,,,65
2023-06-15,,3200435,,,64
2023-06-16,,3599675,,,63
2023-06-17,,3432029,,,65
2023-06-18,,2972348,,,67
2023-06-19,,3097326,,,68
2023-06-20,,3515118,,,66
2023-06-21,,3674071,,,66
2023-06-22,,3806415,,,65
2023-06-23,,3925975,,,66
2023-06-24,,3619884,,,68
2023-06-25,,3633163,,,71
2023-06-26,,3942039,,,72
2023-06-27,,3979062,,,71
2023-06-28,,3860065,,,70
2023-06-29,,4369815,,,68
2023-06-30,,4296391,,,67
2023-07-01,,3401873,,,80
2023-07-02,,4745608,,,67
2023-07-03,,4840654,,,68
2023-07-04,,4917339,,,68
2023-07-05,,4907447,,,69
2023-07-06,,4648365,,,71
2023-07-07,,4141219,,,75
2023-07-08,,4252093,,,73
2023-07-09,,4303364,,,72
2023-07-10,,4404853,,,72
2023-07-11,,4501863,,,73
2023-07-12,,4398699,,,74
2023-07-13,,4479556,,,71
2023-07-14,,4478786,,,71
